,id,name,status,formed_in,genre,theme,active,ended_in,country
111,396,Ancient Misery,Split-up,2000.0,Death Metal,death,2000-2002,2002,Finland
112,406,Angel Death,Split-up,1984.0,Death Metal,Anti-Christianity,1984-1993,1993,Italy
113,412,Angelic Rebellion,Split-up,2006.0,Death Metal,Destruction,2006-2010,2010,Philippines
114,414,Anger,Active,2014.0,Death Metal,Personal,2014-2022,2022,Canada
115,420,Angist,Active,2009.0,Death Metal,Destructive Behaviour,2009-2022,2022,Iceland
116,421,Angoixa,Active,2014.0,Death Metal,Fantasy,2014-2022,2022,Spain
117,425,Anhoxia,Split-up,2000.0,Death Metal,Life,2000-2006,2006,Chile
118,426,Anima Inmortalis,Active,2001.0,Death Metal,Astral,2001-2022,2022,Chile
119,439,Annihilate,Active,2006.0,Death Metal,The Soul,2006-2022,2022,Peru
120,443,Annunciation,Active,2011.0,Death Metal,Death,2011-2022,2022,United Kingdom
121,444,Anomaly,Active,1993.0,Death Metal,Anti-religion,1993-2022,2022,Lithuania
122,453,Antagonized,Active,2006.0,Death Metal,Death,2006-2022,2022,Panama
123,454,Antarctica,Split-up,1999.0,Death Metal,Destruction,1999-2005,2005,Norway
124,457,Antarktis Utopia,Split-up,1997.0,Death Metal,Death,1997-2009,2009,Finland
125,461,Anthem,Active,2005.0,Death Metal,Necronomicon,2005-2022,2022,Poland
126,464,Anthrophagus,Active,2007.0,Death Metal,Causing Mental and Physical Pain,2007-2022,2022,Belgium
127,468,Anthrovore,Active,2006.0,Death Metal,Gore,2006-2022,2022,United States
128,473,Antisemitex,Active,1997.0,Death Metal,NS,1997-2022,2022,Poland
129,477,Anton,Active,1994.0,Death Metal,Satan,1994-2022,2022,Mexico
130,479,Antrodemus,Active,2007.0,Death Metal,Death,2007-2022,2022,Indonesia
131,484,Anubis,Active,2006.0,Death Metal,Mythologies,2006-2022,2022,Sweden
132,495,Aphyxion,Active,2006.0,Death Metal,Death,2006-2022,2022,Denmark
133,498,Apocalypse Warhead,Active,2001.0,Death Metal,Death,2001-2022,2022,Finland
134,503,Apocalyptic Domination,Split-up,2012.0,Death Metal,Chaos,2012-2015,2015,Chile
135,504,Apocalyptic Fear,Split-up,1991.0,Death Metal,Death,1991-1994,1994,Canada
136,506,Apocalyptic Visions,Split-up,2001.0,Death Metal,Hatred,2001-2012,2012,United States
137,507,Apocrafyx,Split-up,1992.0,Death Metal,Death,1992-1994,1994,United States
138,508,Apocryfal,Active,2009.0,Death Metal,Death,2009-2022,2022,Finland
139,510,Apocryphal,Active,2012.0,Death Metal,Death,2012-2022,2022,United States
140,513,Apollyon,Active,2014.0,Death Metal,Death,2014-2022,2022,Canada
141,528,Apostasy,Split-up,1991.0,Death Metal,Black Arts,1991-1995,1995,United States
142,533,Approached by a God,Active,2004.0,Death Metal,Society,2004-2022,2022,Canada
143,534,Apriori Death,Active,2006.0,Death Metal,Death,2006-2022,2022,Colombia
144,541,Arachnophobia,Split-up,1992.0,Death Metal,Sadism,1992-1994,1994,Ukraine
145,543,Aramaic,Active,2011.0,Death Metal,Aramean history,2011-2022,2022,United Arab Emirates
146,547,Arcane,Split-up,2002.0,Death Metal,Apocalypse,2002-2007,2007,El Salvador
147,552,Archaic Thorn,Active,2010.0,Death Metal,Occult,2010-2022,2022,Germany
148,553,Archaios Ophios,Split-up,2003.0,Death Metal,Occult,2003-2008,2008,Russia
149,554,Archanger,Split-up,1999.0,Death Metal,Death,1999-2006,2006,Poland
150,556,Archeopcys,Active,2010.0,Death Metal,Death,2010-2022,2022,Mexico
151,558,Architecture of Aggression,Split-up,1995.0,Death Metal,Anti-Christian,1995-2011,2011,South Africa
152,559,Arcosolium,On hold,2008.0,Death Metal,Death,2008-2012,2012,Sweden
153,565,Arhont,On hold,2005.0,Death Metal,Occultism,2005-2022,2022,Macedonia
154,566,Aries Vehemens,Active,2002.0,Death Metal,Necrosodomy,2002-2022,2022,Poland
155,571,Arkano,Split-up,1988.0,Death Metal,Desolation,1988-1991,1991,Peru
156,575,Arkhan,Active,2008.0,Death Metal,Death,2008-2022,2022,Colombia
157,580,Armaroth,Active,2007.0,Death Metal,Death penalty,2007-2022,2022,Slovenia
158,583,Arsames,Active,2002.0,Death Metal,Persian history and mythology,2002-2022,2022,Iran
159,592,Art of Torture,Active,2009.0,Death Metal,Gore,2009-2022,2022,Brazil
160,594,Artery,Active,2015.0,Death Metal,Morbidity,2015-2022,2022,Israel
161,600,As Flesh Decays,Active,2012.0,Death Metal,Horror,2012-2022,2022,Australia
162,602,As Light Fades,Split-up,1995.0,Death Metal,Darkness,1995-1996,1996,Mexico
163,612,Ascended Dead,Active,2011.0,Death Metal,Darkness,2011-2022,2022,United States
164,619,Ashen Earth,Active,2012.0,Death Metal,Death,2012-2022,2022,United States
165,620,Ashen Epitaph,Active,2003.0,Death Metal,Hate,2003-2022,2022,Serbia
166,632,Asmodina,Split-up,1990.0,Death Metal,Depression,1990-1998,1998,Germany
167,633,Asphixation,Active,2006.0,Death Metal,Misanthropy,2006-2022,2022,Germany
168,636,Asphyxiated,Active,2005.0,Death Metal,Death,2005-2022,2022,United Kingdom
169,642,Asphyxiation Infecta,Active,2009.0,Death Metal,Mutilation,2009-2022,2022,United States
170,645,Aspiration,Active,2000.0,Death Metal,Christianity,2000-2022,2022,Norway
171,650,Assatur,Active,2011.0,Death Metal,Tales of H.P. Lovecraft,2011-2022,2022,Finland
172,651,Assorted Nails,Active,2001.0,Death Metal,Death,2001-2022,2022,Germany
173,652,Assot,Active,2010.0,Death Metal,Folktales,2010-2022,2022,Spain
174,656,Astaroth,Split-up,1991.0,Death Metal,Anti-Christianity,1991-1995,1995,United States
175,660,Astigarraga Thrower,Active,2015.0,Death Metal,Mining and extractive metallurgy,2015-2022,2022,Spain
176,661,Astraes Pestis,Active,2013.0,Death Metal,Occultism,2013-2022,2022,United States
177,664,Astraria,Active,2008.0,Death Metal,Anti-Christianity,2008-2022,2022,Venezuela
